pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag
"Kepler-1482 b","Kepler-1482",2016,"Transit",12.25383217000,1.01000000,86.4990,678.00,0.01393000,2.2130000,5381.00,0.840000,0.880000,-0.0400,567.55600000,12.4410000,12.0340000,11.9960000
"Kepler-587 b","Kepler-587",2016,"Transit",10.94027841000,2.23000000,70.9650,764.00,0.05386000,2.2868000,5549.00,0.890000,0.920000,-0.0500,787.89400000,13.6890000,13.3020000,13.2500000
"Kepler-657 b","Kepler-657",2016,"Transit",24.54350418000,3.52000000,62.2000,616.00,0.11513000,7.3096000,5808.00,1.010000,1.010000,0.0300,1691.88000000,14.1350000,13.8120000,13.7610000
"Kepler-483 b","Kepler-483",2016,"Transit",30.22910400000,3.21000000,61.4950,755.00,0.04434000,6.4658000,6346.00,1.470000,1.280000,0.0900,860.35500000,12.5160000,12.2510000,12.2220000
"Kepler-572 b","Kepler-572",2016,"Transit",17.20523483000,2.58000000,26.8890,553.00,0.10806000,3.6211000,5212.00,0.790000,0.830000,-0.1000,504.66700000,13.1140000,12.6490000,12.5580000
"Kepler-623 b","Kepler-623",2016,"Transit",9.07097734000,3.01000000,77.0980,825.00,0.10262000,2.7085000,5443.00,0.860000,0.900000,-0.0300,737.70200000,13.7290000,13.3210000,13.2110000
"Kepler-658 b","Kepler-658",2016,"Transit",1.28707676200,1.63000000,223.7450,871.00,0.07294000,1.5086000,4103.00,0.600000,0.630000,-0.0400,388.38400000,13.4410000,12.7270000,12.6270000
"Kepler-680 b","Kepler-680",2016,"Transit",3.68992629100,2.42000000,706.6200,1147.00,0.04267000,2.6286000,5890.00,1.110000,1.080000,0.1300,1492.48000000,14.0120000,13.7200000,13.7640000
"Kepler-605 b","Kepler-605",2016,"Transit",3.38353806600,1.44000000,316.7180,1133.00,0.02557000,1.4365000,5462.00,0.880000,0.910000,0.0200,556.58000000,12.8690000,12.4960000,12.4220000
"Kepler-727 b","Kepler-727",2016,"Transit",5.15448441700,2.53000000,176.6850,964.00,0.07459000,2.8866000,5441.00,0.860000,0.890000,-0.0100,831.84200000,13.9870000,13.5930000,13.4320000
"Kepler-1518 b","Kepler-1518",2016,"Transit",5.11177904000,3.05000000,1079.4580,1351.00,0.02678000,2.9600000,6846.00,1.880000,1.540000,0.0600,903.51000000,12.3090000,12.1010000,12.0580000
"Kepler-588 b","Kepler-588",2016,"Transit",4.22162535700,2.63000000,718.0750,1176.00,0.06580000,2.8959000,5835.00,1.000000,1.010000,0.0000,1209.40000000,13.5800000,13.2770000,13.1870000
"Kepler-589 b","Kepler-589",2016,"Transit",16.54964934000,2.27000000,32.1420,656.00,0.07445000,4.0043000,5296.00,0.830000,0.880000,0.0100,612.80300000,13.3230000,12.9130000,12.8650000
"Kepler-573 b","Kepler-573",2016,"Transit",22.18329658000,2.79000000,46.4400,646.00,0.07481000,5.0606000,5746.00,1.020000,0.990000,0.0200,771.47100000,13.0320000,12.7030000,12.6360000
"Kepler-596 b","Kepler-596",2016,"Transit",21.30022655000,3.46000000,82.3020,725.00,0.06598000,4.0882000,6267.00,1.320000,1.210000,0.0300,1023.85000000,13.0740000,12.8120000,12.7150000
"Kepler-715 b","Kepler-715",2016,"Transit",10.00652995000,3.75000000,181.4080,876.00,0.09361000,5.2180000,5871.00,1.040000,1.040000,0.0200,1327.44000000,13.9840000,13.6550000,13.5920000
