toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad
"723.01","723","PC",1,10.0686000,103.2433350,-70.6416860,1.4178596,1.4520000,204.0000000,1.1089400,452.3950000,1284.0000000,4907.9600000,0.7600000
"724.01","724","PC",1,9.7333000,112.5552580,-58.5396600,3.2126400,0.6006982,510.1236296,2.0575829,327.7849685,1085.2180486,5330.0000000,0.8828300
"727.01","727","PC",1,11.0002000,130.7369310,-2.4985850,4.7244442,0.9990000,1480.0000000,1.9756200,6.2920200,441.0000000,3653.0000000,0.5000000
"740.01","740","PC",1,9.5290000,152.1180340,-50.3075030,2.1312250,3.0060000,479.0000000,1.9837100,3661.3800000,2167.0000000,5776.0000000,0.9700000
"761.01","761","PC",1,10.9217000,179.2629980,-38.1047940,10.5557332,2.8163532,1505.7221535,2.7774832,16.7317515,515.8282237,4368.0000000,0.6847600
"783.01","783","PC",1,9.9222000,172.1556370,-54.7842230,8.1125147,2.0330298,1224.9160656,2.3812033,32.9624198,611.1172195,4498.9400000,0.6683610
"785.01","785","PC",1,11.5026000,88.3372900,-65.6335000,18.6286102,30.0156194,570.2527990,1.6416264,4.2850920,366.9524462,3783.0000000,0.5613010
"786.01","786","PC",1,9.8192000,100.1042150,-63.3391080,12.6693786,4.8180000,321.0000000,2.3067800,562.4920000,1356.0000000,5853.8000000,1.3100000
"786.02","786","PC",2,9.8192000,100.1042150,-63.3391080,38.5537648,6.0710000,329.0000000,2.1403800,20.9962000,596.0000000,5853.8000000,1.3100000
"787.01","787","PC",1,9.4799000,87.1160290,-56.0041190,2.1263165,2.6285127,137.5302097,1.7757918,2396.4201609,1784.4750934,6623.0000000,1.3155600
"788.01","788","PC",1,9.0255000,113.6952880,-61.2400680,6.4872362,2.5986372,112.7687265,3.2602447,284.7722987,1047.7174682,4997.0000000,2.5686400
"789.01","789","PC",1,11.9802000,115.2702250,-71.3037640,5.4470648,1.5833010,862.2586997,1.1245064,9.5471336,448.3198817,3471.0000000,0.3711400
"789.02","789","PC",2,11.9802000,115.2702250,-71.3037640,12.9707041,2.2669808,1208.7896248,1.3280332,3.0024214,335.7280760,3471.0000000,0.3711400
"789.03","789","PC",3,11.9802000,115.2702250,-71.3037640,8.0432343,2.0067185,878.9302211,1.2872781,5.6778261,393.6998701,3471.0000000,0.3711400
"790.02","790","PC",2,8.9914000,123.3977800,-64.0909010,41.0175174,8.2090013,229.2846536,2.4013155,62.4617543,717.0068321,6988.0000000,1.4608001
"794.01","794","PC",1,10.0176000,106.6649220,-71.4468270,52.4072665,8.7541225,372.4627072,3.3054594,40.8156414,644.6535906,6270.0100000,1.5908400
"795.01","795","PC",1,10.2477000,100.9703740,-55.6390000,8.7609906,0.9094562,479.6082016,2.9253441,288.3684545,1051.0096100,6168.8800000,1.3109699
"797.01","797","PC",1,11.7144000,108.5630860,-74.6030950,1.8007935,1.1863073,622.5482076,1.1904014,66.8766210,729.3539345,3704.0000000,0.4737020
"797.02","797","PC",2,11.7144000,108.5630860,-74.6030950,4.1400062,1.0309175,740.3454035,1.3230408,22.0406756,552.6192071,3704.0000000,0.4737020
"797.03","797","PC",3,11.7144000,108.5630860,-74.6030950,2.7309449,1.1118337,456.1893836,1.0182347,38.3832990,634.8269047,3704.0000000,0.4737020
"799.01","799","PC",1,10.5868000,98.4691250,-52.4602960,5.5451661,2.2293365,439.0185686,1.9448048,199.6326492,958.6887743,5643.0000000,0.9155190
"801.01","801","PC",1,7.5412000,102.2216910,-73.2993350,0.7757010,1.2010343,44.1399239,0.9322077,8301.3094207,2659.2231950,6283.3900000,1.3560899
"802.01","802","PC",1,7.5209000,97.9857150,-68.7118000,3.6939160,1.7264201,74.8071860,0.6501353,186.8668956,942.9807829,5235.7800000,0.7498200
"805.01","805","PC",1,13.1018000,61.1357990,-62.9891320,4.1177649,1.2126750,1948.1405783,1.2761470,8.9265383,440.8496683,3376.0000000,0.2811290
"806.01","806","PC",1,11.9763000,63.4160590,-76.0980130,21.9166429,3.3787978,1306.4224091,2.2852898,5.8871402,397.2792150,4130.0000000,0.6316090
"807.01","807","PC",1,11.3042000,75.9159210,-66.6549230,5.2702557,2.0186676,511.6141762,1.6776468,70.6617951,739.4620938,4662.0000000,0.6930740
"808.01","808","PC",1,10.0659000,133.7485500,-44.2886300,9.7394089,3.5625788,641.7240822,2.2696307,60.3880789,710.9802766,5216.0000000,0.8331980
"810.01","810","PC",1,10.5173000,62.8540090,-69.4748790,28.3057042,4.8265036,357.0692138,2.7465985,55.5380247,696.2534449,5704.5900000,1.4006500
"810.02","810","PC",2,10.5173000,62.8540090,-69.4748790,90.8479191,11.1179142,314.2730564,2.6152426,11.7310189,472.0126996,5704.5900000,1.4006500
"829.01","829","PC",1,10.5623000,224.2083910,-37.0429830,3.2877916,2.3400995,1779.1851978,4.2854014,350.7238882,1103.7255252,5636.0000000,0.9488850
"835.01","835","PC",1,10.8490000,192.0573250,-56.8943180,4.7920153,1.4903703,2042.5421095,4.7342032,229.2252519,992.3968206,6012.0000000,0.8828280
"855.01","855","PC",1,10.6541000,15.5430420,-2.1445740,1.8301156,1.0180000,1110.0000000,4.4618400,515.1470000,1327.0000000,6671.0000000,1.2200000
"859.01","859","PC",1,11.9587000,97.1440140,-61.1503250,5.1543265,1.0633820,2522.1346873,4.6014268,104.6021101,815.6519164,4971.0000000,0.7561970
"863.01","863","PC",1,9.9547010,93.7294290,-49.7560870,0.5251251,1.0447398,277.1920779,1.4381391,4078.1238196,2038.1439377,5867.0000000,0.8503020
"864.01","864","PC",1,11.4966000,81.4433950,-51.3570310,0.5206710,0.5708161,626.6355136,1.0047438,241.8916543,1005.8308938,3460.0000000,0.3986100
"867.01","867","PC",1,10.4283000,119.0142080,-64.9411540,15.4043768,4.7120319,281.5569106,2.2872195,100.9158218,808.3688406,5777.3600000,1.2349900
"870.01","870","PC",1,10.7791000,63.3192900,-50.9442610,22.0379547,2.5061632,1208.1077142,2.3351040,4.0755023,362.3806799,3927.0000000,0.6111360
"872.01","872","PC",1,11.8348000,74.8681820,-55.9290600,2.2395544,1.1228525,1152.7849514,2.7483506,300.9147034,1062.2594463,4872.5400000,0.7563600
"872.02","872","PC",2,11.8348000,74.8681820,-55.9290600,4.9727711,0.7889782,825.5374706,2.6058369,103.8789635,814.2385337,4872.5400000,0.7563600
"873.01","873","PC",1,12.1249000,56.7366360,-63.3368780,5.9312003,2.0314487,1021.9253753,1.7979811,17.0189842,518.0279088,3797.0000000,0.5204000
"874.01","874","PC",1,8.7542000,96.0693450,-46.9376200,5.9049733,3.9528744,200.4796961,2.2395287,614.2086540,1269.6930207,6437.0000000,1.4178801
"875.01","875","PC",1,11.3877000,78.0372150,-37.7084810,11.0201530,3.6385350,1076.9267540,2.3432280,23.8243065,563.4752132,4407.0000000,0.7194660
"876.01","876","PC",1,11.5340000,84.1093340,-24.2444440,29.4829022,2.3634407,2066.5043819,2.7733274,3.0151313,336.0828164,3955.0000000,0.6037390
"880.01","880","PC",1,9.2563000,94.1644730,-13.9873370,6.3872524,2.6080000,3510.0000000,5.0445000,73.9967000,817.0000000,4935.0000000,0.8200000
"880.03","880","PC",3,9.2563000,94.1644730,-13.9873370,14.3318853,1.5960000,990.0000000,2.8702200,9.9710000,495.0000000,4935.0000000,0.8200000
"900.01","900","PC",1,11.9085000,245.9051290,-31.3735740,4.8495236,3.0602430,1558.4108001,2.8759804,56.8543542,700.3428227,3861.0000000,0.6807110
"906.01","906","PC",1,8.5097000,239.8255140,-49.3666640,1.6647888,1.1520000,1600.0000000,5.2586300,751.2100000,1458.0000000,5954.5300000,1.4200000
"921.01","921","PC",1,11.2559000,99.6742040,-56.2205400,5.1287265,2.0606408,809.4472541,3.3763609,426.7683426,951.0000000,6055.5000000,1.1400000
"929.01","929","PC",1,11.4337000,45.9071660,-39.9307760,5.8301490,2.6180000,1310.0000000,2.7050500,59.7261000,774.0000000,4451.0000000,0.7200000
"932.01","932","PC",1,10.7378000,95.9409410,-54.5780240,19.3106015,3.7831012,1222.9987584,2.7470788,12.0239187,474.9318086,4444.0000000,0.7340730
"932.02","932","PC",2,10.7378000,95.9409410,-54.5780240,7.9856481,2.7290000,460.0000000,1.7072400,34.6569000,675.0000000,4444.0000000,0.7300000
"938.01","938","PC",1,10.8479000,63.0323440,-12.1188360,8.8073507,4.2640000,1700.0000000,4.0916000,220.7350000,1073.0000000,5981.0000000,0.9900000
