pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_rade,pl_insol,pl_eqt,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_met,sy_dist,sy_jmag,sy_hmag,sy_kmag,log_period,log_radius,log_insol,log_teff
Kepler-32 c,Kepler-32,2011.0,Transit,8.7522,2.0,10.68,451.0,0.1453,2.328,3900.0,0.53,0.58,0.0,323.847,13.616,12.901,12.757,0.9421172333385271,0.3010299956639812,1.0285712526925377,3.591064607026499
Kepler-1735 b,Kepler-1735,2021.0,Transit,7.71792984,1.19429134,15.01,502.0,0.03189,1.84,3975.0,0.509,0.535,-0.34,245.303,13.035,12.384,12.247,0.8875008262903993,0.07711028317552707,1.1763806922432705,3.5993371329924893
Kepler-32 d,Kepler-32,2012.0,Transit,22.7802,2.7,3.631,328.0,0.2181,2.976,3900.0,0.53,0.58,0.0,323.847,13.616,12.901,12.757,1.357557532671751,0.43136376415898736,0.5600262489128923,3.591064607026499
Kepler-31 d,Kepler-31,2014.0,Transit,87.6451,3.9,11.8,484.0,0.0959,8.256,6340.0,1.22,1.21,-0.076,1664.64,14.233,13.984,13.871,1.942727640881077,0.5910646070264992,1.0718820073061255,3.802089257881733
Kepler-32 f,Kepler-32,2012.0,Transit,0.74296,0.82,349.645,1026.0,0.0224,0.936,3900.0,0.53,0.58,0.0,323.847,13.616,12.901,12.757,-0.12903456746002331,-0.08618614761628333,2.5436273221145513,3.591064607026499
Kepler-134 c,Kepler-134,2014.0,Transit,10.105785,1.26,128.086,892.0,0.01116,2.059,5983.0,1.176,0.956,-0.2067,334.797,11.26,10.984,10.951,1.0045700544101417,0.10037054511756291,2.1075016632730392,3.7769190028420465
Kepler-210 b,Kepler-210,2014.0,Transit,2.453234,2.94,122.139,737.0,0.17519,1.746,4559.0,0.65,0.77,0.2772,232.75,11.992,11.449,11.313,0.38973897505591737,0.46834733041215726,2.086854359934779,3.6588695922019623
KOI-94 b,KOI-94,2013.0,Transit,3.743208,1.71,1053.181,1486.0,0.01263,3.6888,6182.0,1.52,1.277,0.0228,477.052,11.218,10.957,10.926,0.5732439603611228,0.23299611039215382,3.0225030155787445,3.791129000727286
Kepler-415 c,Kepler-415,2014.0,Transit Timing Variations,8.708,2.01,26.237,543.0,0.14196,2.532,4362.0,0.643,0.67,0.01,530.487,14.091,13.434,13.378,0.9399184203690567,0.30319605742048883,1.4189141752946957,3.6396856612426816
Kepler-122 f,Kepler-122,2014.0,Transit Timing Variations,56.268,1.75,21.524,543.0,0.03488,8.114,5917.0,0.949,1.03,-0.08,1027.45,13.173,12.887,12.826,1.750261478786474,0.24303804868629444,1.3329229833744562,3.772101569277012
Kepler-96 b,Kepler-96,2014.0,Transit,16.2385,2.67,57.524,711.0,0.06433,3.817,5690.0,1.02,1.0,0.04,122.881,9.26,8.928001,8.868,1.2105459096459346,0.42651126136457523,1.7598490776100113,3.7551122663950713
Kepler-414 c,Kepler-414,2014.0,Transit Timing Variations,7.171,3.01,137.086,890.0,0.08633,2.9225,5536.0,0.946,0.89,0.18,413.46,12.087,11.75,11.698,0.8555797225017179,0.47856649559384334,2.1369931044379125,3.7431960814487013
Kepler-641 b,Kepler-641,2016.0,Transit,9.48961571,1.85,311.788,926.0,0.02622,3.5282,5713.0,1.13,1.02,0.15,969.918,12.576,12.256,12.186,0.9772486256616781,0.26717172840301384,2.4938593961829336,3.756864224060549
Kepler-410 A b,Kepler-410 A,2013.0,Transit,17.833648,2.838,159.5,866.0,0.03279,4.5403,6273.0,1.352,1.214,0.01,147.527,8.417,8.191,8.14,1.2512401902992107,0.4530123911214552,2.2027606873931997,3.7974752875373343
Kepler-314 c,Kepler-314,2014.0,Transit,5.960392,2.9,149.977,890.0,0.08239,2.765,5378.0,0.95,0.99,0.322,268.881,11.242,10.85,10.778,0.775274823135965,0.4623979978989561,2.176024662129228,3.730620797887283
Kepler-415 b,Kepler-415,2014.0,Transit Timing Variations,4.176,1.21,69.834,694.0,0.05315,2.358,4362.0,0.643,0.67,0.01,530.487,14.091,13.434,13.378,0.6207604899942057,0.08278537031645007,1.8440669185722356,3.6396856612426816
Kepler-338 e,Kepler-338,2014.0,Transit Timing Variations,9.341,1.56,428.524,1143.0,0.00817,6.18,5999.0,1.735,1.14,-0.029,552.798,11.098,10.841,10.756,0.9703933720796001,0.1931245983544616,2.631975150123119,3.778078861937455
Kepler-314 b,Kepler-314,2014.0,Transit,2.461069,0.83,488.674,1195.0,0.00809,2.293,5378.0,0.95,0.99,0.322,268.881,11.242,10.85,10.778,0.3911237900129084,-0.08092190762392612,2.6890192329162184,3.730620797887283
Kepler-130 c,Kepler-130,2014.0,Transit,27.50868,2.9,46.011,683.0,0.064,6.1,5879.0,1.17,1.0,0.02,316.663,10.81,10.529,10.49,1.4394697513322499,0.4623979978989561,1.6628616722946246,3.769303460189082
Kepler-52 b,Kepler-52,2012.0,Transit,7.8773565,2.1,22.72,553.0,0.14616,2.4223,4075.0,0.52,0.54,0.0,321.542,13.153,12.507,12.36,0.8963805004749429,0.3222192947339193,1.3564083270389813,3.6101276130759956
