toi,toipfx,tfopwg_disp,pl_pnum,st_tmag,ra,dec,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_rad,log_period,log_radius,log_insol,log_teff
797.01,797,PC,1,11.7144,108.563086,-74.603095,1.8007935,1.1863073,622.5482076,1.1904014,66.876621,729.3539345,3704.0,0.473702,0.25546391440071153,0.07569342896450271,1.8252743218752392,3.5686709780098966
797.02,797,PC,2,11.7144,108.563086,-74.603095,4.1400062,1.0309175,740.3454035,1.3230408,22.0406756,552.6192071,3704.0,0.473702,0.6170009915131143,0.12157323718950085,1.3432249025597418,3.5686709780098966
797.03,797,PC,3,11.7144,108.563086,-74.603095,2.7309449,1.1118337,456.1893836,1.0182347,38.383299,634.8269047,3704.0,0.473702,0.4363129378301927,0.007847893095875191,1.5841422991103171,3.5686709780098966
799.01,799,PC,1,10.5868,98.469125,-52.460296,5.5451661,2.2293365,439.0185686,1.9448048,199.6326492,958.6887743,5643.0,0.915519,0.7439145595443398,0.28887601772490323,2.300231570056779,3.751510050270041
805.01,805,PC,1,13.1018,61.135799,-62.989132,4.1177649,1.212675,1948.1405783,1.276147,8.9265383,440.8496683,3376.0,0.281129,0.6146615473457891,0.10590070386143179,0.9506830726983925,3.5284024379536176
806.01,806,PC,1,11.9763,63.416059,-76.098013,21.9166429,3.3787978,1306.4224091,2.2852898,5.8871402,397.279215,4130.0,0.631609,1.3407740314883179,0.35894128123755015,0.7699043784928797,3.615950051656401
807.01,807,PC,1,11.3042,75.915921,-66.654923,5.2702557,2.0186676,511.6141762,1.6776468,70.6617951,739.4620938,4662.0,0.693074,0.7218316866366572,0.22470053279959512,1.8491846661036644,3.668572269184558
808.01,808,PC,1,10.0659,133.74855,-44.28863,9.7394089,3.5625788,641.7240822,2.2696307,60.3880789,710.9802766,5216.0,0.833198,0.9885325996652474,0.3559551972812842,1.7809512138043755,3.717337582723864
810.01,810,PC,1,10.5173,62.854009,-69.474879,28.3057042,4.8265036,357.0692138,2.7465985,55.5380247,696.2534449,5704.59,1.40065,1.451873963897166,0.43879517854011735,1.744590429300707,3.756224436285134
810.02,810,PC,2,10.5173,62.854009,-69.474879,90.8479191,11.1179142,314.2730564,2.6152426,11.7310189,472.0126996,5704.59,1.40065,1.9583149841070433,0.4175119819047714,1.0693357344880976,3.756224436285134
829.01,829,PC,1,10.5623,224.208391,-37.042983,3.2877916,2.3400995,1779.1851978,4.2854014,350.7238882,1103.7255252,5636.0,0.948885,0.5169042815448965,0.6319915071554847,2.5449653471764115,3.750970984437319
855.01,855,PC,1,10.6541,15.543042,-2.144574,1.8301156,1.018,1110.0,4.46184,515.147,1327.0,6671.0,1.22,0.262478522985338,0.6495139925809472,2.711931175020305,3.824190940652583
864.01,864,PC,1,11.4966,81.443395,-51.357031,0.520671,0.5708161,626.6355136,1.0047438,241.8916543,1005.8308938,3460.0,0.39861,-0.28343661070669673,0.00205533495952355,2.3836208846744773,3.5390760987927767
867.01,867,PC,1,10.4283,119.014208,-64.941154,15.4043768,4.7120319,281.5569106,2.2872195,100.9158218,808.3688406,5777.36,1.23499,1.1876441331757892,0.3593078450022131,2.0039592611997987,3.761729430228318
870.01,870,PC,1,10.7791,63.31929,-50.944261,22.0379547,2.5061632,1208.1077142,2.335104,4.0755023,362.3806799,3927.0,0.611136,1.3431712860181537,0.36830622778020194,0.610181142566696,3.594060901270418
872.01,872,PC,1,11.8348,74.868182,-55.92906,2.2395544,1.1228525,1152.7849514,2.7483506,300.9147034,1062.2594463,4872.54,0.75636,0.35016161615908287,0.4390721337488673,2.4784434089081593,3.6877554130452714
872.02,872,PC,2,11.8348,74.868182,-55.92906,4.9727711,0.7889782,825.5374706,2.6058369,103.8789635,814.2385337,4872.54,0.75636,0.6965984688250608,0.4159472296241893,2.0165276076065117,3.6877554130452714
873.01,873,PC,1,12.1249,56.736636,-63.336878,5.9312003,2.0314487,1021.9253753,1.7979811,17.0189842,518.0279088,3797.0,0.5204,0.7731425906520958,0.2547851222087511,1.2309336350963982,3.579440597139797
874.01,874,PC,1,8.7542,96.069345,-46.93762,5.9049733,3.9528744,200.4796961,2.2395287,614.208654,1269.6930207,6437.0,1.4178801,0.7712179382426949,0.35015663238542394,2.7883159312180386,3.808683509128969
875.01,875,PC,1,11.3877,78.037215,-37.708481,11.020153,3.638535,1076.926754,2.343228,23.8243065,563.4752132,4407.0,0.719466,1.0421876241522876,0.3698145482317701,1.3770202676479624,3.644143050509919
876.01,876,PC,1,11.534,84.109334,-24.244444,29.4829022,2.3634407,2066.5043819,2.7733274,3.0151313,336.0828164,3955.0,0.603739,1.4695702318127961,0.4430011424304308,0.4793062291209024,3.597146487833695
880.03,880,PC,3,9.2563,94.164473,-13.987337,14.3318853,1.596,990.0,2.87022,9.971,495.0,4935.0,0.82,1.1563033237910025,0.4579151863243096,0.9987387162558178,3.6932871570056554
900.01,900,PC,1,11.9085,245.905129,-31.373574,4.8495236,3.060243,1558.4108001,2.8759804,56.8543542,700.3428227,3861.0,0.680711,0.6856990771479743,0.4587859219748051,1.754763730811261,3.586699801624049
921.01,921,PC,1,11.2559,99.674204,-56.22054,5.1287265,2.0606408,809.4472541,3.3763609,426.7683426,951.0,6055.5,1.14,0.7100095400273781,0.5284488622727525,2.6301921962630903,3.7821500084659956
929.01,929,PC,1,11.4337,45.907166,-39.930776,5.830149,2.618,1310.0,2.70505,59.7261,774.0,4451.0,0.72,0.7656796540816397,0.43217529699283114,1.7761641570745876,3.6484575942825224
932.01,932,PC,1,10.7378,95.940941,-54.578024,19.3106015,3.7831012,1222.9987584,2.7470788,12.0239187,474.9318086,4444.0,0.734073,1.2857958016956228,0.4388711173435085,1.0800460310967537,3.64777405026883
932.02,932,PC,2,10.7378,95.940941,-54.578024,7.9856481,2.729,460.0,1.70724,34.6569,675.0,4444.0,0.73,0.902310168418369,0.23229457755823407,1.539789713221961,3.64777405026883
938.01,938,PC,1,10.8479,63.032344,-12.118836,8.8073507,4.264,1700.0,4.0916,220.735,1073.0,5981.0,0.99,0.9448452898645521,0.6118931699365252,2.3438712008631217,3.776773802412107
970.01,970,PC,1,10.5248,114.699006,-39.135518,4.9857808,3.671241,690.3429151,2.7920398,245.807602,1009.8772228,5189.0,1.06532,0.6977331808177587,0.4459216047810599,2.3905953100215447,3.715083670694927
1011.01,1011,PC,1,8.2388,113.984761,-32.841999,2.4705036,2.3513472,273.0272045,1.44656,575.597,1364.0,5413.7,0.94,0.3927854910766785,0.1603364518993149,2.7601185217363517,3.7334941856874493
1027.01,1027,PC,1,10.2103,167.133275,-29.653135,3.2834565,1.537,1558.0,2.87648,161.092,992.0,4272.0,0.68,0.5163312670268095,0.4588613587474613,2.2070739734290012,3.6306312440205
1027.02,1027,PC,2,10.2103,167.133275,-29.653135,11.02875,2.715,1694.0,2.76586,15.0463,548.0,4272.0,0.68,1.0425262922347882,0.44183019357291814,1.1774297167311873,3.6306312440205
1056.01,1056,PC,1,9.6663,339.258703,-76.917605,5.3079507,3.2158594,391.3830934,3.0486928,603.2401116,1263.9861129,6124.3,1.36963,0.7249268805041182,0.48411366510451614,2.7804902116206036,3.7870564565450704
1057.01,1057,PC,1,9.4091,127.996917,-78.407564,51.1701501,6.6641048,851.4547808,2.9366826,11.2148229,466.7322968,5599.0,0.943356,1.7090166909120454,0.4678570100170074,1.0497924197682922,3.7481104674949837
1063.01,1063,PC,1,9.0689,230.555493,-83.056214,10.0665238,2.4023189,839.9044871,2.7272824,54.8791715,694.1792631,5552.0,0.791742,1.002879524663455,0.43573010985646843,1.7394075462902723,3.7444494574467986
1074.01,1074,PC,1,10.6339,310.761004,-72.010267,13.9428705,3.7522756,1015.395543,2.4233421,28.0927293,587.1759148,5206.0,0.741671,1.1443521937027896,0.38441472724311876,1.448593934372413,3.716504163773217
1082.01,1082,PC,1,11.8835,83.275809,-80.815478,16.3469053,3.5865698,2212.4257252,3.5059571,8.9995944,441.7489067,4310.0,0.649613,1.2134355466999587,0.5448065976256421,0.9542229367936335,3.6344772701607315
1083.01,1083,PC,1,12.0936,296.822194,-87.32281,12.9802953,2.5034417,2407.2608671,2.4241912,4.7341229,376.2093904,3614.0,0.491323,1.1132845727187182,0.38456687037470094,0.6752395282231871,3.557988148224913
1105.01,1105,PC,1,10.2809,146.053969,-89.471513,10.8680523,2.375,1553.0,2.90726,20.7383,594.0,4664.0,0.76,1.0361517196931067,0.46348387302120436,1.316773152685659,3.668758541750958
2392.01,2392,PC,1,10.3998,83.783703,-64.11662,5.9123675,4.672,416.0,3.28952,697.86,1431.0,6187.3,1.76,0.7717614210332004,0.5171325312145032,2.843768306110516,3.7915011739133115
2392.02,2392,PC,2,10.3998,83.783703,-64.11662,3.4072141,3.892,315.0,2.96344,2770.93,2021.0,6187.3,1.76,0.5323994243008193,0.4717961386164731,3.442625554653497,3.7915011739133115
2394.01,2394,PC,1,11.9522,178.890769,-10.029102,3.4978002,2.1386761,2039.561003,3.6935664,248.1616025,1012.2863851,5356.0,0.81,0.5437949982485134,0.5674459108280738,2.394734584928992,3.7288405683399715
2404.01,2404,PC,1,11.1464,98.442149,-74.190098,20.362741,4.5890238,1126.8782473,4.2523478,75.428916,751.630191,6142.0,1.18003,1.3088362373706242,0.6286287782979987,1.87753786645118,3.78830981210705
2405.01,2405,PC,1,12.5515,45.144066,-51.793599,1.9792573,1.6873516,2235.6640941,4.1930997,189.6799154,946.5097378,4001.0,0.756551,0.296502255402262,0.6225351888154633,2.278021347268522,3.6021685513789974
2419.01,2419,PC,1,10.4354,53.270375,-56.588436,18.8812961,5.943,915.0,3.61081,103.276,888.0,5924.0,1.35,1.2760318029788875,0.5576046365513049,2.013999408852006,3.772615049849171
2426.01,2426,PC,1,9.97008,43.811698,-20.78129,4.08165,2.691,460.0,2.38239,376.072,1226.0,5716.0,1.02,0.6108357613830934,0.3770128574757916,2.5752709997394145,3.7570922201189325
2429.01,2429,PC,1,9.4752,36.363902,1.057529,7.0846492,3.102328,591.5301151,2.1949984,115.4006791,835.9337133,5517.8,0.842833,0.8503183508042208,0.34143420800801516,2.0622083645260805,3.7417659548473132
2437.01,2437,PC,1,11.2571,37.938574,-5.514987,5.1660127,3.01966,1263.5326305,4.1062551,381.0617054,1126.8564017,5927.0,1.11457,0.7131554694976043,0.6134459263012337,2.5809953067645384,3.772834927239018
